refeitorio,data,refeicao,preparacao,cardapio,aparencia,textura,sabor,odor,global,nota,sheet_origem,ru,mes
Pici 1,2026-03-04,Almoço,PB,Isca de Frango ao M. de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Pici 1,2026-03-04,Almoço,VEG,Bobó de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Benfica,2026-03-03,Almoço,PV,Paçoca de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-03,Almoço,PB,Sobrecoxa Assada,4.0,4.0,5.0,4.0,4.0,8.4,Av. Sensorial,B,2026-03
Benfica,2026-03-03,Almoço,VEG,Arroz Cremoso de Lentilha,4.0,4.0,5.0,4.0,4.0,8.6,Av. Sensorial,B,2026-03
Benfica,2026-03-04,Almoço,PV,Feijoada,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,B,2026-03
Benfica,2026-03-04,Almoço,PB,Isca de Frango ao M. de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Benfica,2026-03-04,Almoço,VEG,Bobó de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-03
Pici 2,2026-03-04,Almoço,PV,Feijoada,4.0,3.0,3.0,4.0,3.0,6.8,Av. Sensorial,P2,2026-03
Pici 2,2026-03-04,Almoço,PB,Isca de Frango ao M. de Legumes,4.0,3.0,3.0,4.0,3.0,6.8,Av. Sensorial,P2,2026-03
Pici 1,2026-03-04,Almoço,PV,Feijoada,4.0,3.0,3.0,4.0,3.0,6.8,Av. Sensorial,P1,2026-03
Pici 1,2026-03-04,Almoço,PB,Isca de Frango ao M. de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-03
Pici 1,2026-03-04,Almoço,VEG,Bobó de Legumes,4.0,4.0,2.0,4.0,4.0,6.8,Av. Sensorial,P1,2026-03
Labomar,2026-03-04,Almoço,PV,Feijoada,3.0,4.0,4.0,4.0,3.0,7.2,Av. Sensorial,L,2026-03
Labomar,2026-03-04,Almoço,PB,Isca de Frango ao M. de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,L,2026-03
Labomar,2026-03-04,Almoço,VEG,Bobó de Legumes,4.0,4.0,3.0,4.0,4.0,7.4,Av. Sensorial,L,2026-03
Porangabussu,2026-03-04,Almoço,PV,Feijoada,3.0,4.0,3.0,4.0,3.0,6.8,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-04,Almoço,PB,Isca de Frango ao M. de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-04,Almoço,VEG,Bobó de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-04,Almoço,PV,Feijoada,4.0,3.0,3.0,4.0,4.0,7.0,Av. Sensorial,PO,2026-03
Porangabussu,2026-03-04,Almoço,PB,Isca de Frango ao M. de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-03
