refeitorio,data,refeicao,preparacao,cardapio,aparencia,textura,sabor,odor,global,nota,sheet_origem,ru,mes
Benfica,2026-01-05,Café,ESPECIAL,Mingau ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-05,Café,ESPECIAL VEG,Achocolatado vegano ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Porangabussu,2026-01-05,Almoço,PV,Cozido Bovino à Calabresa,2.0,3.0,3.0,4.0,2.0,5.4,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-05,Almoço,PB,Cubos de Frango ao M. Vermelho,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-05,Almoço,VEG,Soja Tropical,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-05,Almoço,PV,Cozido Bovino à Calabresa,3.0,3.0,3.0,4.0,3.0,6.2,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-05,Almoço,PB,Cubos de Frango ao M. Vermelho,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-05,Almoço,VEG,Soja Tropical,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Pici 2,2026-01-05,Café,ESPECIAL,Mingau ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-05,Café,ESPECIAL VEG,Achocolatado vegano ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-05,Almoço,PV,Cozido Bovino à Calabresa,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,P2,2026-01
Pici 2,2026-01-05,Almoço,PB,Cubos de Frango ao M. Vermelho,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-05,Almoço,VEG,Soja Tropical,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 1,2026-01-05,Almoço,PV,Cozido Bovino à Calabresa,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,P1,2026-01
Pici 1,2026-01-05,Almoço,PB,Cubos de Frango ao M. Vermelho,4.0,4.0,3.0,4.0,4.0,7.6,Av. Sensorial,P1,2026-01
Pici 1,2026-01-05,Almoço,VEG,Soja Tropical,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-05,Jantar,PV,Cubos Suíno ao molho barbecue,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-05,Jantar,PB,Sobrecoxa Desossada ao M.,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-05,Jantar,VEG,Bolinha de grão de bico,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Benfica,2026-01-05,Jantar,PV,Cubos Suíno ao molho barbecue,3.0,3.0,3.0,4.0,4.0,6.4,Av. Sensorial,B,2026-01
Benfica,2026-01-05,Jantar,PB,Sobrecoxa Desossada ao M.,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-05,Jantar,VEG,Bolinha de grão de bico,3.0,3.0,4.0,4.0,4.0,7.0,Av. Sensorial,B,2026-01
Benfica,2026-01-06,Café,ESPECIAL,Queijo ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-06,Café,ESPECIAL VEG,Granola,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Pici 1,2026-01-06,Almoço,PV,Paçoca de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-06,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-06,Almoço,VEG,Arroz Cremoso de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-06,Almoço,PV,Paçoca de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-06,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-06,Almoço,VEG,Arroz Cremoso de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Porangabussu,2026-01-06,Almoço,PV,Paçoca de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-06,Almoço,PB,Sobrecoxa Assada,3.0,2.0,4.0,4.0,3.0,6.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-06,Almoço,VEG,Arroz Cremoso de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-06,Almoço,PV,Paçoca de Carne,4.0,4.0,3.0,4.0,4.0,7.6,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-06,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-06,Almoço,VEG,Arroz Cremoso de Lentilha,3.0,3.0,3.0,4.0,3.0,6.2,Av. Sensorial,PO,2026-01
Pici 2,2026-01-06,Café,ESPECIAL,Queijo ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-06,Café,ESPECIAL VEG,Granola,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-06,Almoço,PV,Paçoca de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-06,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-06,Almoço,VEG,Arroz Cremoso de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 1,2026-01-06,Jantar,PV,Carne Moída ao Molho,2.0,4.0,3.0,4.0,3.0,6.2,Av. Sensorial,P1,2026-01
Pici 1,2026-01-06,Jantar,PB,Cubos de Frango com Batata Rústica,4.0,3.0,4.0,4.0,4.0,7.4,Av. Sensorial,P1,2026-01
Pici 1,2026-01-06,Jantar,VEG,Jardineira de Soja,4.0,4.0,3.0,4.0,4.0,7.4,Av. Sensorial,P1,2026-01
Benfica,2026-01-06,Almoço,PV,Paçoca de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-06,Almoço,PB,Sobrecoxa Assada,3.0,3.0,4.0,4.0,3.0,6.6,Av. Sensorial,B,2026-01
Benfica,2026-01-06,Almoço,VEG,Arroz Cremoso de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-06,Almoço,PV,Paçoca de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-06,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-06,Almoço,VEG,Arroz Cremoso de Lentilha,3.0,3.0,4.0,4.0,4.0,7.0,Av. Sensorial,B,2026-01
Benfica,2026-01-06,Jantar,PV,Carne Moída ao Molho,3.0,4.0,3.0,4.0,3.0,6.8,Av. Sensorial,B,2026-01
Benfica,2026-01-06,Jantar,PB,Cubos de Frango com Batata Rústica,4.0,3.0,4.0,4.0,3.0,7.2,Av. Sensorial,B,2026-01
Benfica,2026-01-06,Jantar,VEG,Jardineira de Soja,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-05,Almoço,PV,Cozido Bovino à Calabresa,3.0,3.0,4.0,4.0,4.0,6.8,Av. Sensorial,B,2026-01
Benfica,2026-01-05,Almoço,PB,Cubos de Frango ao M. Vermelho,4.0,3.0,4.0,4.0,4.0,7.4,Av. Sensorial,B,2026-01
Benfica,2026-01-05,Almoço,VEG,Soja Tropical,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-05,Jantar,PV,Cubos Suíno ao molho barbecue,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-05,Jantar,PB,Sobrecoxa Desossada ao M.,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-05,Jantar,VEG,Bolinha de grão de bico,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-07,Café,ESPECIAL,Ovos Mexidos,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-07,Café,ESPECIAL VEG,Pasta de Amendoim,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Pici 2,2026-01-07,Café,ESPECIAL,Ovos Mexidos,3.0,4.0,4.0,4.0,4.0,7.555555555555555,Av. Sensorial,P2,2026-01
Pici 2,2026-01-07,Café,ESPECIAL VEG,Pasta de Amendoim,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-07,Almoço,PV,Feijoada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-07,Almoço,PB,Isca de Frango ao M. de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-07,Almoço,VEG,Bobó de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 1,2026-01-07,Almoço,PB,Isca de Frango ao M. de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-07,Almoço,VEG,Bobó de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Porangabussu,2026-01-07,Almoço,PV,Feijoada,4.0,4.0,3.0,4.0,4.0,7.6,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-07,Almoço,PB,Isca de Frango ao M. de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-07,Almoço,VEG,Bobó de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-07,Almoço,PV,Feijoada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-07,Almoço,PB,Isca de Frango ao M. de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-07,Almoço,VEG,Bobó de Legumes,4.0,4.0,3.0,4.0,4.0,7.4,Av. Sensorial,PO,2026-01
Pici 1,2026-01-07,Jantar,PB,Sobrecoxa Assada/ ao Forno,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-07,Jantar,VEG,Lasanha de Batatas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Benfica,2026-01-07,Almoço,PV,Feijoada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-07,Almoço,PB,Isca de Frango ao M. de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-07,Almoço,VEG,Bobó de Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-07,Jantar,PV,Assado de Panela,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-07,Jantar,PB,Sobrecoxa Assada/ ao Forno,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-07,Jantar,VEG,Lasanha de Batatas,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-08,Café,ESPECIAL,Iogurte ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-08,Café,ESPECIAL VEG,Similar a Iogurte Vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Pici 2,2026-01-08,Café,ESPECIAL,Iogurte ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-08,Café,ESPECIAL VEG,Similar a Iogurte Vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-08,Almoço,PV,Isca de Carne ao Molho Escuro,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-08,Almoço,PB,Peixe ao M. de Peixada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-08,Almoço,VEG,Estrogonofe de Grão de Bico,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Porangabussu,2026-01-08,Almoço,PV,Isca de Carne ao Molho Escuro,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-08,Almoço,PB,Peixe ao M. de Peixada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-08,Almoço,VEG,Estrogonofe de Grão de Bico,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Pici 1,2026-01-08,Almoço,PB,Peixe ao M. de Peixada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-08,Almoço,VEG,Estrogonofe de Grão de Bico,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Benfica,2026-01-08,Almoço,PV,Isca de Carne ao Molho Escuro,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-08,Almoço,PB,Peixe ao M. de Peixada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-08,Almoço,VEG,Estrogonofe de Grão de Bico,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-08,Almoço,PV,Isca de Carne ao Molho Escuro,3.0,3.0,4.0,4.0,4.0,6.8,Av. Sensorial,B,2026-01
Benfica,2026-01-08,Almoço,PB,Peixe ao M. de Peixada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-08,Almoço,VEG,Estrogonofe de Grão de Bico,3.0,3.0,3.0,4.0,3.0,6.2,Av. Sensorial,B,2026-01
Pici 1,2026-01-08,Jantar,PB,Estrogonofe de Frango,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-08,Jantar,VEG,Assado de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Benfica,2026-01-09,Café,ESPECIAL,Carne Moída ao Molho,3.0,4.0,3.0,4.0,4.0,6.888888888888889,Av. Sensorial,B,2026-01
Benfica,2026-01-09,Café,ESPECIAL VEG,Geleia,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Pici 2,2026-01-09,Café,ESPECIAL,Carne Moída ao Molho,3.0,4.0,3.0,4.0,3.0,6.666666666666667,Av. Sensorial,P2,2026-01
Pici 2,2026-01-09,Café,ESPECIAL VEG,Geleia,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-09,Almoço,PV,Dobradinha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-09,Almoço,PB,Isca de Frango Acebolado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-09,Almoço,VEG,Maria Isabel Vegana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Porangabussu,2026-01-09,Almoço,PV,Dobradinha,4.0,4.0,3.0,4.0,4.0,7.6,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-09,Almoço,PB,Isca de Frango Acebolado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-09,Almoço,VEG,Maria Isabel Vegana,4.0,4.0,3.0,4.0,4.0,7.4,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-09,Almoço,PV,Dobradinha,4.0,4.0,3.0,4.0,4.0,7.6,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-09,Almoço,PB,Isca de Frango Acebolado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-09,Almoço,VEG,Maria Isabel Vegana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Benfica,2026-01-09,Almoço,PV,Dobradinha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-09,Almoço,PB,Isca de Frango Acebolado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-09,Almoço,VEG,Maria Isabel Vegana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-09,Almoço,PB,Isca de Frango Acebolado,3.0,3.0,3.0,4.0,3.0,6.2,Av. Sensorial,B,2026-01
Benfica,2026-01-09,Almoço,VEG,Maria Isabel Vegana,3.0,3.0,4.0,4.0,3.0,6.8,Av. Sensorial,B,2026-01
Benfica,2026-01-09,Jantar,PV,Escondidinho de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-09,Jantar,PB,Sobrecoxa Desossada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-09,Jantar,VEG,Bolinho de Ervilha com Aveia,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Pici 1,2026-01-09,Almoço,PV,Dobradinha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-09,Almoço,PB,Isca de Frango Acebolado,3.0,3.0,4.0,4.0,4.0,6.8,Av. Sensorial,P1,2026-01
Pici 1,2026-01-09,Almoço,VEG,Maria Isabel Vegana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-09,Jantar,PV,Escondidinho de Carne,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-09,Jantar,PB,Sobrecoxa Desossada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-09,Jantar,VEG,Bolinho de Ervilha com Aveia,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Benfica,2026-01-12,Almoço,PV,Picadinho com Legumes,3.0,4.0,4.0,4.0,4.0,7.4,Av. Sensorial,B,2026-01
Benfica,2026-01-12,Almoço,PB,Sobrecoxa Assada,4.0,3.0,3.0,4.0,4.0,7.0,Av. Sensorial,B,2026-01
Benfica,2026-01-12,Almoço,VEG,Curry de lentilha,4.0,3.0,4.0,4.0,4.0,7.6,Av. Sensorial,B,2026-01
Pici 1,2026-01-12,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-12,Almoço,VEG,Curry de lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Benfica,2026-01-12,Café,ESPECIAL,Achocolatado,4.0,4.0,3.0,4.0,4.0,7.333333333333333,Av. Sensorial,B,2026-01
Benfica,2026-01-12,Café,ESPECIAL VEG,Achocolatado vegano ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Porangabussu,2026-01-12,Almoço,PV,Picadinho com Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-12,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-12,Almoço,VEG,Curry de lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-12,Almoço,PV,Picadinho com Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-12,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-12,Almoço,VEG,Curry de lentilha,3.0,3.0,3.0,4.0,3.0,6.2,Av. Sensorial,PO,2026-01
Pici 2,2026-01-12,Café,ESPECIAL,Achocolatado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-12,Café,ESPECIAL VEG,Achocolatado vegano ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-12,Almoço,PV,Picadinho com Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-12,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-12,Almoço,VEG,Curry de lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Benfica,2026-01-12,Almoço,PV,Picadinho com Legumes,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-12,Almoço,PB,Sobrecoxa Assada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-12,Almoço,VEG,Curry de lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-12,Jantar,PV,Isca de Carne ao M. Tomate,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-12,Jantar,PB,Cubos de Frango com Ervas,3.0,3.0,4.0,4.0,3.0,6.6,Av. Sensorial,B,2026-01
Benfica,2026-01-12,Jantar,VEG,Salpicão vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Pici 1,2026-01-12,Jantar,PB,Cubos de Frango com Ervas,4.0,3.0,4.0,4.0,4.0,7.4,Av. Sensorial,P1,2026-01
Pici 1,2026-01-12,Jantar,VEG,Salpicão vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Benfica,2026-01-12,Jantar,PV,Isca de Carne ao M. Tomate,4.0,3.0,4.0,4.0,3.0,7.2,Av. Sensorial,B,2026-01
Benfica,2026-01-12,Jantar,PB,Cubos de Frango com Ervas,3.0,3.0,3.0,4.0,3.0,6.2,Av. Sensorial,B,2026-01
Benfica,2026-01-12,Jantar,VEG,Salpicão vegano,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-13,Café,ESPECIAL,Queijo ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-13,Café,ESPECIAL VEG,Granola,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Pici 2,2026-01-13,Café,ESPECIAL,Queijo ,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-13,Café,ESPECIAL VEG,Granola,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-13,Almoço,PV,Cubo suíno acebolado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-13,Almoço,PB,Creme de Frango,4.0,3.0,3.0,4.0,4.0,7.0,Av. Sensorial,P2,2026-01
Pici 2,2026-01-13,Almoço,VEG,Refogado de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P2,2026-01
Porangabussu,2026-01-13,Almoço,PV,Cubo suíno acebolado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-13,Almoço,PB,Creme de Frango,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-13,Almoço,VEG,Refogado de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-13,Almoço,PV,Cubo suíno acebolado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-13,Almoço,PB,Creme de Frango,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-13,Almoço,VEG,Refogado de Lentilha,3.0,3.0,3.0,4.0,3.0,6.2,Av. Sensorial,PO,2026-01
Pici 1,2026-01-13,Almoço,PV,Cubo suíno acebolado,4.0,3.0,4.0,4.0,3.0,7.2,Av. Sensorial,P1,2026-01
Pici 1,2026-01-13,Almoço,PB,Creme de Frango,4.0,4.0,3.0,4.0,4.0,7.6,Av. Sensorial,P1,2026-01
Pici 1,2026-01-13,Almoço,VEG,Refogado de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Pici 1,2026-01-13,Almoço,PV,Cubo suíno acebolado,4.0,3.0,4.0,4.0,4.0,7.4,Av. Sensorial,P1,2026-01
Pici 1,2026-01-13,Almoço,PB,Creme de Frango,4.0,4.0,3.0,4.0,4.0,7.6,Av. Sensorial,P1,2026-01
Pici 1,2026-01-13,Almoço,VEG,Refogado de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,P1,2026-01
Benfica,2026-01-13,Almoço,PV,Cubo suíno acebolado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-13,Almoço,PB,Creme de Frango,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Benfica,2026-01-13,Almoço,VEG,Refogado de Lentilha,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
Porangabussu,2026-01-14,Almoço,PV,Feijoada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-14,Almoço,PB,Sobrecoxa com Gergelim,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-14,Almoço,VEG,Moqueca Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-14,Almoço,PV,Feijoada,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-14,Almoço,PB,Sobrecoxa com Gergelim,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Porangabussu,2026-01-14,Almoço,VEG,Moqueca Vegetariana,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,PO,2026-01
Benfica,2026-01-13,Almoço,PV,Cubo suíno acebolado,4.0,4.0,4.0,4.0,4.0,8.0,Av. Sensorial,B,2026-01
