data,ru,refeicao,preparacao,otimo,otimo_pct,regular,regular_pct,ruim,ruim_pct,isc,sheet_origem,mes
2026-01-12,P1,Jantar,Salpicão vegano,12.0,0.46153846153846156,4.0,0.15384615384615385,10.0,0.38461538461538464,5.769230769230769,ISC jan,2026-01
2026-01-12,B,Jantar,Salpicão vegano,3.0,0.5,3.0,0.5,0.0,0.0,7.5,ISC jan,2026-01
2026-01-13,P1,Jantar,Sobrecoxa Desossada,30.0,0.6818181818181818,12.0,0.2727272727272727,2.0,0.045454545454545456,8.227272727272727,ISC jan,2026-01
2026-01-13,B,Jantar,Sobrecoxa Desossada,45.0,0.9,4.0,0.08,1.0,0.02,9.42,ISC jan,2026-01
2026-01-13,P1,Jantar,Carne Moída à Bolonhesa,90.0,0.7692307692307693,16.0,0.13675213675213677,11.0,0.09401709401709402,8.47008547008547,ISC jan,2026-01
2026-01-13,B,Jantar,Carne Moída à Bolonhesa,36.0,0.8780487804878049,4.0,0.0975609756097561,1.0,0.024390243902439025,9.292682926829269,ISC jan,2026-01
2026-01-13,P1,Jantar,Hambúrguer de Soja,6.0,0.42857142857142855,1.0,0.07142857142857142,7.0,0.5,5.142857142857143,ISC jan,2026-01
2026-01-13,B,Jantar,Hambúrguer de Soja,11.0,0.8461538461538461,1.0,0.07692307692307693,1.0,0.07692307692307693,8.923076923076923,ISC jan,2026-01
2026-01-14,P1,Jantar,Isca de Frango Acebolado,29.0,0.6304347826086957,15.0,0.32608695652173914,2.0,0.043478260869565216,7.978260869565218,ISC jan,2026-01
2026-01-14,B,Jantar,Isca de Frango Acebolado,23.0,0.8846153846153846,2.0,0.07692307692307693,1.0,0.038461538461538464,9.26923076923077,ISC jan,2026-01
2026-01-14,P1,Jantar,Suíno ao M. Escuro,43.0,0.8431372549019608,3.0,0.058823529411764705,5.0,0.09803921568627451,8.823529411764707,ISC jan,2026-01
2026-01-14,B,Jantar,Suíno ao M. Escuro,32.0,0.9142857142857143,2.0,0.05714285714285714,1.0,0.02857142857142857,9.457142857142857,ISC jan,2026-01
2026-01-14,P1,Jantar,Panqueca Vegana ao Molho Branco,12.0,0.5217391304347826,5.0,0.21739130434782608,6.0,0.2608695652173913,6.565217391304348,ISC jan,2026-01
2026-01-14,B,Jantar,Panqueca Vegana ao Molho Branco,17.0,0.8095238095238095,4.0,0.19047619047619047,0.0,0.0,9.047619047619047,ISC jan,2026-01
2026-01-15,P1,Jantar,Peixe à Delícia,42.0,0.8936170212765957,2.0,0.0425531914893617,3.0,0.06382978723404255,9.212765957446809,ISC jan,2026-01
2026-01-15,B,Jantar,Peixe à Delícia,45.0,0.8653846153846154,5.0,0.09615384615384616,2.0,0.038461538461538464,9.173076923076923,ISC jan,2026-01
2026-01-15,P1,Jantar,Cubos Carne ao M. Madeira,53.0,0.5760869565217391,16.0,0.17391304347826086,23.0,0.25,6.880434782608695,ISC jan,2026-01
2026-01-15,B,Jantar,Cubos Carne ao M. Madeira,21.0,0.525,10.0,0.25,9.0,0.225,6.725,ISC jan,2026-01
2026-01-15,P1,Jantar,Suflê de Legumes,4.0,0.3333333333333333,2.0,0.16666666666666666,6.0,0.5,4.666666666666667,ISC jan,2026-01
2026-01-15,B,Jantar,Suflê de Legumes,5.0,0.38461538461538464,0.0,0.0,8.0,0.6153846153846154,4.461538461538462,ISC jan,2026-01
2026-01-16,P1,Jantar,Cubos de Frango ao M. Escuro,30.0,0.5769230769230769,15.0,0.28846153846153844,7.0,0.1346153846153846,7.346153846153846,ISC jan,2026-01
2026-01-16,B,Jantar,Cubos de Frango ao M. Escuro,22.0,0.7586206896551724,5.0,0.1724137931034483,2.0,0.06896551724137931,8.517241379310345,ISC jan,2026-01
2026-01-16,P1,Jantar,Torta de Calabresa,46.0,0.6301369863013698,19.0,0.2602739726027397,8.0,0.1095890410958904,7.712328767123288,ISC jan,2026-01
2026-01-16,B,Jantar,Torta de Calabresa,45.0,0.7627118644067796,9.0,0.15254237288135594,5.0,0.0847457627118644,8.474576271186441,ISC jan,2026-01
2026-01-16,P1,Jantar,Torta de Legumes,7.0,0.25925925925925924,10.0,0.37037037037037035,10.0,0.37037037037037035,4.814814814814815,ISC jan,2026-01
2026-01-16,B,Jantar,Torta de Legumes,2.0,0.4,2.0,0.4,1.0,0.2,6.2,ISC jan,2026-01
2026-01-19,P1,Jantar,Sobrecoxa ao M. de Ervas,20.0,0.7692307692307693,6.0,0.23076923076923078,0.0,0.0,8.846153846153847,ISC jan,2026-01
2026-01-19,B,Jantar,Sobrecoxa ao M. de Ervas,15.0,0.6521739130434783,4.0,0.17391304347826086,4.0,0.17391304347826086,7.565217391304348,ISC jan,2026-01
2026-01-19,P1,Jantar,Isca de Carne Acebolada,45.0,0.8035714285714286,5.0,0.08928571428571429,6.0,0.10714285714285714,8.589285714285714,ISC jan,2026-01
2026-01-19,B,Jantar,Isca de Carne Acebolada,34.0,0.85,2.0,0.05,4.0,0.1,8.85,ISC jan,2026-01
2026-01-19,P1,Jantar,Rocambole de Grão de Bico,26.0,0.7647058823529411,2.0,0.058823529411764705,6.0,0.17647058823529413,8.117647058823529,ISC jan,2026-01
2026-01-19,B,Jantar,Rocambole de Grão de Bico,5.0,0.5555555555555556,1.0,0.1111111111111111,3.0,0.3333333333333333,6.444444444444445,ISC jan,2026-01
2026-01-20,P1,Jantar,Cubos de Frango Acebolado,23.0,0.8214285714285714,3.0,0.10714285714285714,2.0,0.07142857142857142,8.821428571428571,ISC jan,2026-01
2026-01-20,B,Jantar,Cubos de Frango Acebolado,18.0,0.8571428571428571,3.0,0.14285714285714285,0.0,0.0,9.285714285714286,ISC jan,2026-01
2026-01-20,P1,Jantar,Carne Moída Refogada,39.0,0.7358490566037735,8.0,0.1509433962264151,6.0,0.11320754716981132,8.226415094339623,ISC jan,2026-01
2026-01-20,B,Jantar,Carne Moída Refogada,25.0,0.9259259259259259,2.0,0.07407407407407407,0.0,0.0,9.62962962962963,ISC jan,2026-01
2026-01-20,P1,Jantar,Soja Tropical,11.0,0.6875,3.0,0.1875,2.0,0.125,7.9375,ISC jan,2026-01
2026-01-20,B,Jantar,Soja Tropical,2.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,8.333333333333334,ISC jan,2026-01
